campaign_member_id,contact_id,campaign_id,first_name,last_name,email,created_date,status
00v2T00002LrVkO38W,0032T000022w0QOvfm,7012T00000KXg4XgDO,Morna,Demihov,fishing@stood.com,2023-04-26 18:49:47+00:00,Responded
00v2T0000256Wm34Ct,0032T00002c4PHyO1l,7012T00000ZIfHxmNk,Privado,Maiz,sinsoboerobot@fingernails.com,2023-04-11 17:36:30+00:00,Responded
00v2T00002vbcb3Qgq,0032T00002vmiJdnQw,7012T00000ftDe5OHW,Hubbers,Harries,lizard@violin.com,2023-05-28 23:56:01+00:00,Responded
00v2T00002OtXX1VWt,0032T000024FA1H2fZ,7012T00000ZIfHxmNk,Adella,Davidovitch,fossilmost@right.com,2023-05-12 08:00:14+00:00,Responded
00v2T00002SCxQpRCX,0032T00002h4NpMdpg,7012T00000ftDe5OHW,Simonette,Recio,trachodonlooksrush@language.com,2023-06-27 04:35:47+00:00,Responded
00v2T00002HfcYpown,0032T00002dNiwaODf,7012T00000ftDe5OHW,Hilde,Hofte,sends@archelon.co.uk,2023-07-08 23:02:19+00:00,Responded
00v2T000027ENhm4gN,0032T00002Fm7VZ7AN,7012T00000ftDe5OHW,Gabriel,Illunbe,songsalice@everything.com,2023-06-29 20:28:13+00:00,Responded
00v2T00002H8cigUgK,0032T00002H9mO8PhT,7012T00000ftDe5OHW,Fredra,Cruzeiro,pot@beam.edu,2023-07-04 02:48:10+00:00,Responded
00v2T00002E1hHZPy8,0032T00002N4KCf0xE,7012T00000KXg4XgDO,Kimberli,Kochjohann,neighedl@stiff.net,2023-04-08 03:48:48+00:00,Responded
00v2T00002au8pbkFk,0032T00002Of2AeaOf,7012T00000KXg4XgDO,Delia,Abaidullin,cut@pot.net,2023-03-20 16:59:41+00:00,Responded
00v2T00002NbFggRmO,0032T00002ryy8kBsg,7012T00000KXg4XgDO,Ester,Michelis,ribbonlivearound@candle.com,2023-04-30 00:40:30+00:00,Responded
00v2T00002ehtgUx0e,0032T00002snNpQ0fq,7012T00000KXg4XgDO,Roxane,Feans,pistol@burrow.com,2023-04-06 17:50:51+00:00,Responded
00v2T000020J9AnJT1,0032T00002PuEMZi17,7012T00000KXg4XgDO,Shahbazov,Tuca,up@heals.gov,2023-04-20 16:48:22+00:00,Responded
00v2T00002zr0JlbAG,0032T000021mqFK2NZ,7012T00000KXg4XgDO,Brittan,Assafroo,really@seconds.co.uk,2023-04-25 11:50:39+00:00,Responded
00v2T00002eKMGFy8W,0032T00002al15y8dT,7012T00000ZIfHxmNk,Baratech,Arnal,madalineeurope@meant.edu,2023-05-13 06:26:26+00:00,Responded
00v2T00002tEtmrOfi,0032T00002uRwr7g4s,7012T00000ftDe5OHW,Rahal,Fledderjohann,hillsidechorus@friends.edu,2023-07-04 22:43:22+00:00,Responded
00v2T000023P5GqApw,0032T00002viRsBBPO,7012T00000KXg4XgDO,Meyfarth,Mantia,gettingplaying@her.com,2023-04-22 10:57:05+00:00,Responded
00v2T00002efKgbQoK,0032T00002sXd79nDg,7012T00000ftDe5OHW,Trixie,Villaume,georgiajersey@macaroni.co.uk,2023-06-15 18:25:56+00:00,Responded
00v2T00002erAV8Mwd,0032T00002pXLjbKMQ,7012T00000ZIfHxmNk,Phelia,Gulomar,fenceplategrapes@sack.net,2023-06-22 23:51:41+00:00,Responded
00v2T00002r9fQPthP,0032T00002RhobweA0,7012T00000ZIfHxmNk,Stepha,Dacasa,sailsrubyhaste@already.com,2023-05-14 07:40:44+00:00,Responded
00v2T000020gJcFjjW,0032T00002tBdPtWAP,7012T00000ftDe5OHW,Binny,Compañ,traffic@tuna.co.uk,2023-07-06 15:57:06+00:00,Responded
00v2T00002g7UJYGp3,0032T00002tTmD3vVv,7012T00000KXg4XgDO,Privado,Cossmann,seasheaven@rolling.net,2023-04-10 14:13:06+00:00,Responded
00v2T00002hGoWYjgq,0032T00002pyZ2ROsk,7012T00000KXg4XgDO,Henningsen,Hofener,energyacrocanthosaurusstood@matines.com,2023-05-11 20:47:39+00:00,Responded
00v2T00002b5qtco08,0032T00002uhBU2zUR,7012T00000ZIfHxmNk,Hyacinthie,Alcaraz,savioridle@barefoot.com,2023-05-12 04:22:25+00:00,Responded
